DATE,MIUR
2000-01-01,3.6500000000000000
2001-01-01,5.1750000000000000
2002-01-01,6.2750000000000000
2003-01-01,7.1750000000000000
2004-01-01,7.0166666666666667
2005-01-01,6.7833333333333333
2006-01-01,7.0083333333333333
2007-01-01,7.0000000000000000
2008-01-01,8.0416666666666667
2009-01-01,13.6083333333333333
2010-01-01,12.5750000000000000
2011-01-01,10.3916666666666667
2012-01-01,9.1250000000000000
2013-01-01,8.7833333333333333
2014-01-01,7.2333333333333333
2015-01-01,5.4083333333333333
2016-01-01,4.9916666666666667
2017-01-01,4.6083333333333333
2018-01-01,4.1500000000000000
