DATE,MIWASH1URN
2000-01-01,2.3833333333333333
2001-01-01,3.0416666666666667
2002-01-01,3.6416666666666667
2003-01-01,4.1166666666666667
2004-01-01,4.2833333333333333
2005-01-01,4.4583333333333333
2006-01-01,4.8000000000000000
2007-01-01,4.8916666666666667
2008-01-01,5.6250000000000000
2009-01-01,8.6166666666666667
2010-01-01,8.1000000000000000
2011-01-01,6.8333333333333333
2012-01-01,5.9500000000000000
2013-01-01,5.8333333333333333
2014-01-01,4.8833333333333333
2015-01-01,3.7583333333333333
2016-01-01,3.6583333333333333
2017-01-01,3.4916666666666667
2018-01-01,3.0833333333333333
